set_id,description,result
44,Unfunniness,"[[""183"", ""https://s3.amazonaws.com/popop-uploads/3f369060a30546158759d98dc5792728.png"", 0.38516129762135831], [""185"", ""https://s3.amazonaws.com/popop-uploads/6b8e98db21674280bf5e5c22622084e1.png"", 0.31166661939918366], [""184"", ""https://s3.amazonaws.com/popop-uploads/7ea5f30abc244f6d8892f4af563feaac.png"", 0.30317208297945802]]"
45,Tinder Profile Picture Order,"[[""188"", ""https://s3.amazonaws.com/popop-uploads/72a7cc264ec24086939d1113f37b7fa8.jpeg"", 0.33266727841492105], [""187"", ""https://s3.amazonaws.com/popop-uploads/83647e6005624ddc93c93f4c39acdc92.jpeg"", 0.31123886214824692], [""186"", ""https://s3.amazonaws.com/popop-uploads/a04adaaf46b447bbbdc0d4d76fa54f97.jpeg"", 0.32109385943683211], [""189"", ""https://s3.amazonaws.com/popop-uploads/4fec27172279428cb58696eb4d85358c.jpeg"", 0.03500000000000001]]"
28,Which social media platforms are the most helpful for everyday life?,"[[""108"", ""https://s3.amazonaws.com/popop-uploads/95b0ca44bcb146b5b8225abc18bdb173.png"", 0.11246472503033315], [""107"", ""https://s3.amazonaws.com/popop-uploads/b60f6d4ba0a7478f89279e4eac2b7404.png"", 0.064976614856665102], [""113"", ""https://s3.amazonaws.com/popop-uploads/9c7363177beb4e62bf19d06e9fd0af47.png"", 0.089203141655884069], [""109"", ""https://s3.amazonaws.com/popop-uploads/ace76a63623f48c0b3531f61c30f685b.png"", 0.11089639151638654], [""111"", ""https://s3.amazonaws.com/popop-uploads/25f1fc382b284e32bf8f3ee6cdef5dad.png"", 0.084682349815223754], [""110"", ""https://s3.amazonaws.com/popop-uploads/23d8dfe384d74f2c819966e3e0531a70.png"", 0.20047778196052726], [""115"", ""https://s3.amazonaws.com/popop-uploads/49a53e034b7e40319b059298f226599b.png"", 0.038921212277914397], [""114"", ""https://s3.amazonaws.com/popop-uploads/1e70a81ae63846708f837294df75a1e5.png"", 0.046152630797071756], [""112"", ""https://s3.amazonaws.com/popop-uploads/9b7d5566c86847aeaf8720021c7bb842.png"", 0.090094373272237516], [""106"", ""https://s3.amazonaws.com/popop-uploads/9cbb78076835447ab8fdac769787591c.png"", 0.16213077881775648]]"
29,Which Monet is the prettiest?,"[[""117"", ""https://s3.amazonaws.com/popop-uploads/151f244313a54aa1b0dd76d1d5d5a957.jpeg"", 0.19223706029366514], [""116"", ""https://s3.amazonaws.com/popop-uploads/413e741a7e634a95aba952c8990ea808.jpeg"", 0.1771379650373521], [""118"", ""https://s3.amazonaws.com/popop-uploads/89b04b5a8ddc4dbb85b44866b7bb9db1.jpeg"", 0.52411813681481412], [""119"", ""https://s3.amazonaws.com/popop-uploads/cc9baf06d95a41e3bb98dba3d2abfe95.jpeg"", 0.10650683785416865]]"
40,What food should I order,"[[""168"", ""https://s3.amazonaws.com/popop-uploads/075028c8b29a410bb54087ce8fbd5158.jpeg"", 0.43771855202867593], [""170"", ""https://s3.amazonaws.com/popop-uploads/095feed933414227a4541a65e4d43dcc.jpeg"", 0.1370855088870514], [""171"", ""https://s3.amazonaws.com/popop-uploads/d2ca7a4f5f954e87b995a1b3aaa49f33.jpeg"", 0.065208379950687526], [""173"", ""https://s3.amazonaws.com/popop-uploads/006641ff5ca24bea8e6510088e55b95f.jpeg"", 0.1577181568457989], [""169"", ""https://s3.amazonaws.com/popop-uploads/7082146df3f84fd78acc8e80bb1768b5.jpeg"", 0.15543658883145509], [""172"", ""https://s3.amazonaws.com/popop-uploads/62d091b6a2a94823b97759ca2aa3f0b5.jpeg"", 0.046832813456331078]]"
41,attractiveness ,"[[""174"", ""https://s3.amazonaws.com/popop-uploads/b0aab1b533f642d2a13bdd5ec95773dd.jpeg"", 0.30614215248171472], [""176"", ""https://s3.amazonaws.com/popop-uploads/16f4ffcdc459412587c67faf0b872234.jpeg"", 0.46547295099862257], [""175"", ""https://s3.amazonaws.com/popop-uploads/a27f61af5f744e3596d72ad6c365ad53.jpeg"", 0.22838489651966251]]"
1,Vote by the best logo,"[[""3"", ""https://raw.githubusercontent.com/gmosley/PopOp/master/data/aggregation/logos/fedora.png"", 0.25340974034721303], [""2"", ""https://raw.githubusercontent.com/gmosley/PopOp/master/data/aggregation/logos/centos.png"", 0.38691754604121148], [""4"", ""https://raw.githubusercontent.com/gmosley/PopOp/master/data/aggregation/logos/ubuntu.png"", 0.12651937394269555], [""1"", ""https://raw.githubusercontent.com/gmosley/PopOp/master/data/aggregation/logos/arch.png"", 0.23315333966887988]]"
3,Which pupper is cutest?,"[[""12"", ""https://s3.amazonaws.com/popop-uploads/fb01e775ee7c4d7b9f15c20cc2e2aa9e.jpeg"", 0.18393067108263605], [""15"", ""https://s3.amazonaws.com/popop-uploads/93514351f6ff4f768b9bc56f04ed22d1.jpeg"", 0.20111905597499019], [""14"", ""https://s3.amazonaws.com/popop-uploads/d15aa18da0b8457e81f6d6fbbed18a50.jpeg"", 0.14804035666643425], [""10"", ""https://s3.amazonaws.com/popop-uploads/91621a0d05b449fcaa56cad5e4e2030e.jpeg"", 0.18686724426402573], [""13"", ""https://s3.amazonaws.com/popop-uploads/2dd641adbb93451b8d4c243ef309fd3e.jpeg"", 0.071643790519587275], [""11"", ""https://s3.amazonaws.com/popop-uploads/19300af62a25455aa1d35e2359c3b7ac.jpeg"", 0.20839888149232652]]"
2,CATS CATS CATS,"[[""8"", ""https://raw.githubusercontent.com/gmosley/PopOp/master/data/aggregation/photos/cat4.jpg"", 0.29718213792501708], [""7"", ""https://raw.githubusercontent.com/gmosley/PopOp/master/data/aggregation/photos/cat3.jpg"", 0.22599444708290276], [""9"", ""https://raw.githubusercontent.com/gmosley/PopOp/master/data/aggregation/photos/cat5.jpg"", 0.18309929303321562], [""6"", ""https://raw.githubusercontent.com/gmosley/PopOp/master/data/aggregation/photos/cat2.jpg"", 0.19498749284284572], [""5"", ""https://raw.githubusercontent.com/gmosley/PopOp/master/data/aggregation/photos/cat1.jpg"", 0.098736629116018951]]"
5,best art,"[[""20"", ""https://s3.amazonaws.com/popop-uploads/2b61b13192064ab1bcfbf716c0c08737.jpeg"", 0.79748774179594328], [""19"", ""https://s3.amazonaws.com/popop-uploads/04e96ff64e9247178f3472f47bc9ee33.jpeg"", 0.14044026762894732], [""21"", ""https://s3.amazonaws.com/popop-uploads/9dd63d6af0de4b9dbf3e01677bf5c0c1.jpeg"", 0.062071990575109398]]"
4,quality of cat,"[[""18"", ""https://s3.amazonaws.com/popop-uploads/5426f014379c4cd599cfe64f2d5dd3e1.png"", 0.48704578688357131], [""16"", ""https://s3.amazonaws.com/popop-uploads/597c5ad0274c41b1be671a0c0a8f44a7.png"", 0.26661455256015382], [""17"", ""https://s3.amazonaws.com/popop-uploads/ec33987facac4929b4496025987749e0.png"", 0.2463396605562749]]"
7,Best CIS professor,"[[""30"", ""https://s3.amazonaws.com/popop-uploads/c59bde512c3640338c7426edc1f008d0.jpeg"", 0.39810863660241791], [""29"", ""https://s3.amazonaws.com/popop-uploads/64d8de8847d94bcba772be00ec289bb1.jpeg"", 0.2152214550886902], [""31"", ""https://s3.amazonaws.com/popop-uploads/daa1d8896ef64e108ff803e7fbe20df4.jpeg"", 0.10955103284876268], [""28"", ""https://s3.amazonaws.com/popop-uploads/c874f53c87f94ee9872052dfb0738481.jpeg"", 0.12064912994679482], [""27"", ""https://s3.amazonaws.com/popop-uploads/6718520f3177495ea550fe9cef31fb17.jpeg"", 0.15646974551333437]]"
6,Cutest dog,"[[""24"", ""https://s3.amazonaws.com/popop-uploads/88dd5a1d37944c5788d39148cc182794.jpeg"", 0.24743775907027529], [""22"", ""https://s3.amazonaws.com/popop-uploads/36b99f658c2446828028d35878586926.jpeg"", 0.15029504875341468], [""26"", ""https://s3.amazonaws.com/popop-uploads/d816f5491e934c65bc4dfd691945c1b1.jpeg"", 0.26959943266604774], [""25"", ""https://s3.amazonaws.com/popop-uploads/4f78d286588d4a2f8e48c54bfd03f4bd.jpeg"", 0.16310877153507058], [""23"", ""https://s3.amazonaws.com/popop-uploads/233e9b28ae344590a38ffc9046cff0f6.jpeg"", 0.16955898797519176]]"
9,Most enjoy spending time with students from which school?,"[[""40"", ""https://s3.amazonaws.com/popop-uploads/28875a3b952b445fbd8e76c33e0027b8.png"", 0.21912603177572965], [""38"", ""https://s3.amazonaws.com/popop-uploads/a40e76220c6b4d5d96930971e2c1bb01.png"", 0.15026194625391615], [""37"", ""https://s3.amazonaws.com/popop-uploads/7b9edef7db8047b18cdc43f1e7651346.png"", 0.14887787491654997], [""39"", ""https://s3.amazonaws.com/popop-uploads/92397893f7cc4fa295f2c9478d8fb53d.jpeg"", 0.48173414705380418]]"
8,Most representative picture of Penn,"[[""32"", ""https://s3.amazonaws.com/popop-uploads/bcce04d26d1d436b8a2eceaeba2d597f.jpeg"", 0.1755965401185148], [""36"", ""https://s3.amazonaws.com/popop-uploads/a29ef9fec0834dd3a3d6cfe5b68d039a.jpeg"", 0.24881310418646801], [""34"", ""https://s3.amazonaws.com/popop-uploads/a59adc7355084b5397e78f676db45ed6.jpeg"", 0.19826125539998052], [""33"", ""https://s3.amazonaws.com/popop-uploads/f0d13a3076dc481ba50e9885b4fa995f.jpeg"", 0.24278362607856793], [""35"", ""https://s3.amazonaws.com/popop-uploads/12fd5179f6b44ba7920d07980e2c40a9.jpeg"", 0.13454547421646876]]"
39,Best pepe,"[[""161"", ""https://s3.amazonaws.com/popop-uploads/b361cc12338d49e1b9785da2a2d9138d.jpeg"", 0.072020633663423067], [""167"", ""https://s3.amazonaws.com/popop-uploads/0642126399084482bcfb0c2e8c449181.jpeg"", 0.13265070463484585], [""164"", ""https://s3.amazonaws.com/popop-uploads/cb50d622981d4e1da84cd1977c0e6ea0.jpeg"", 0.11703368748990745], [""165"", ""https://s3.amazonaws.com/popop-uploads/4bccbf4ed5434bb4bb0437f2858b850e.png"", 0.3044463798066317], [""163"", ""https://s3.amazonaws.com/popop-uploads/ce5c4286fc46487f86fd8789774edd9d.png"", 0.08200851018272419], [""166"", ""https://s3.amazonaws.com/popop-uploads/f7cd8a475161477f900d4020b47e6051.png"", 0.23442985199404037], [""162"", ""https://s3.amazonaws.com/popop-uploads/b6a081953615418f94e6ace4a7a329d4.png"", 0.05741023222842729]]"
38,Who is cooler?,"[[""160"", ""https://s3.amazonaws.com/popop-uploads/cf675cd8d2de45fc9718bf9ab5e46538.jpeg"", 0.34903760314062482], [""159"", ""https://s3.amazonaws.com/popop-uploads/c2d8e1d9fbea463da72665a46fbfd891.jpeg"", 0.13681874423333906], [""158"", ""https://s3.amazonaws.com/popop-uploads/082681f05b69423d8f34efdc95f79a26.jpeg"", 0.51414365262603612]]"
11,Favorite phone,"[[""48"", ""https://s3.amazonaws.com/popop-uploads/9a9e2e38bd8f4d90a8fe1f1e5b2f44b3.jpeg"", 0.3490698667932805], [""47"", ""https://s3.amazonaws.com/popop-uploads/6fc233a9d94e4bf791c3fa75613007c0.jpeg"", 0.27207206068293599], [""46"", ""https://s3.amazonaws.com/popop-uploads/cff59ad1931c495d985878c84a405f84.jpeg"", 0.18133291396780282], [""49"", ""https://s3.amazonaws.com/popop-uploads/11d403c20b0d4d4bbc4a7d29d3ddc353.jpeg"", 0.19752515855598082]]"
10,Favorite college w/ heavy sports culture,"[[""42"", ""https://s3.amazonaws.com/popop-uploads/8d8c48fdb3234278a4298012bf200301.png"", 0.33911017308332636], [""43"", ""https://s3.amazonaws.com/popop-uploads/d5f3234a5b5749f0a56617c43dc551d6.jpeg"", 0.24511793521700365], [""41"", ""https://s3.amazonaws.com/popop-uploads/4edd31419cb54e8795cce1e6588fb504.jpeg"", 0.07376331800932058], [""45"", ""https://s3.amazonaws.com/popop-uploads/aca6a811fe8d4d0ea805b8ab66e51b0b.png"", 0.095720015396349167], [""44"", ""https://s3.amazonaws.com/popop-uploads/188352c5f7e548c5a67fb94c9244d4b2.jpeg"", 0.24628855829400018]]"
13,Which is the prettiest button?,"[[""57"", ""https://s3.amazonaws.com/popop-uploads/53f0ebcf4e714ff0bf571befa306d7e2.png"", 0.19877513077499046], [""55"", ""https://s3.amazonaws.com/popop-uploads/82860648637f4975a6e0c3fc3072d998.png"", 0.13991277481374165], [""56"", ""https://s3.amazonaws.com/popop-uploads/3229341cf2d7400c8b0c38e4ace14778.png"", 0.28516702049619946], [""54"", ""https://s3.amazonaws.com/popop-uploads/734d169b6e0b49e0afe4b03b55b2bb9d.png"", 0.15275065584305356], [""58"", ""https://s3.amazonaws.com/popop-uploads/c12e32d6e97f4dea9bb76f78ad0e25ef.png"", 0.13748977727318745], [""59"", ""https://s3.amazonaws.com/popop-uploads/46416df2e1b542c2a5bd0f28c05ef025.png"", 0.085904640798827328]]"
12,best casual outfit for a date,"[[""50"", ""https://s3.amazonaws.com/popop-uploads/5820bcd196fa4d4d8005c38ed6bc7b43.jpeg"", 0.3588212941340615], [""52"", ""https://s3.amazonaws.com/popop-uploads/206e714a350944388e05bd414a0f829e.jpeg"", 0.37365485175772889], [""53"", ""https://s3.amazonaws.com/popop-uploads/e557213b1afe4838be06e20b82fe56d4.jpeg"", 0.081051295157405695], [""51"", ""https://s3.amazonaws.com/popop-uploads/c2080d5d21494ff2968bd2c4552f4d3a.jpeg"", 0.18647255895080384]]"
15,Which rowing picture is coolest?,"[[""63"", ""https://s3.amazonaws.com/popop-uploads/8e3940844ccb46e2bfa6f1491d1a21a4.jpeg"", 0.10685255444056393], [""64"", ""https://s3.amazonaws.com/popop-uploads/7cd2383df5cd49a9a9f77ff9d36b1153.jpeg"", 0.50107708696737241], [""65"", ""https://s3.amazonaws.com/popop-uploads/4ab25995a93748cd9b3ed7f2fa36d70e.jpeg"", 0.39207035859206374]]"
14,Which is the better designed marketing poster?,"[[""61"", ""https://s3.amazonaws.com/popop-uploads/e2bfe7fbdc4648fe9de3c8ade1e0ad20.jpeg"", 0.60920453545474884], [""60"", ""https://s3.amazonaws.com/popop-uploads/47aff20128d74aa9b45a18919c775c37.jpeg"", 0.24529704880162556], [""62"", ""https://s3.amazonaws.com/popop-uploads/ee06309c40874c9c9aba7f9f5eedcdee.png"", 0.14549841574362574]]"
17,What is Jennifer Aniston's best look?,"[[""71"", ""https://s3.amazonaws.com/popop-uploads/81ba4a8173a84691b707e0d3ae7eb02e.jpeg"", 0.73191985378726221], [""70"", ""https://s3.amazonaws.com/popop-uploads/a2268db5692d45a7aee660361dfa9e5b.jpeg"", 0.22083745250881082], [""69"", ""https://s3.amazonaws.com/popop-uploads/468e62d721ba482ea1cfacc394aaaf3b.jpeg"", 0.04724269370392703]]"
16,Which cookie looks the best?,"[[""67"", ""https://s3.amazonaws.com/popop-uploads/bd7ae4ac1422427dbbbe8649b2f48ec4.jpeg"", 0.14662535665754051], [""68"", ""https://s3.amazonaws.com/popop-uploads/a741f27d03de472e9ddfba1bc7609cd5.jpeg"", 0.80159011363698629], [""66"", ""https://s3.amazonaws.com/popop-uploads/0ae217a1e3e54afe82c5bdce94c02837.jpeg"", 0.051784529705473266]]"
33,which is a better background ,"[[""138"", ""https://s3.amazonaws.com/popop-uploads/b0c5ff092eb549948777fde16cdce215.jpeg"", 0.28327299436951414], [""137"", ""https://s3.amazonaws.com/popop-uploads/4ddd38abf1084b3080e27476d2c728d6.jpeg"", 0.24589716653097057], [""139"", ""https://s3.amazonaws.com/popop-uploads/e3cc2ea07af34badab212157660d6c6d.jpeg"", 0.47082983909951531]]"
18,What is the prettiest sunset?,"[[""74"", ""https://s3.amazonaws.com/popop-uploads/51e5fdd893854fba9076201e15923b6d.jpeg"", 0.4069819774802676], [""72"", ""https://s3.amazonaws.com/popop-uploads/3cbaaf0500e942f7a0b6239097e84b84.jpeg"", 0.44834091477928134], [""73"", ""https://s3.amazonaws.com/popop-uploads/8601c46a463b45f8ad19d59083859875.jpeg"", 0.14467710774045103]]"
31,sort by how beautiful you think the photo is,"[[""129"", ""https://s3.amazonaws.com/popop-uploads/b5dfd3e1f1b94565a7996bfe6eda1fa6.jpeg"", 0.11625622734077298], [""124"", ""https://s3.amazonaws.com/popop-uploads/e80dc51df7e84fe5860e5a0372ce3374.jpeg"", 0.084465750952543592], [""132"", ""https://s3.amazonaws.com/popop-uploads/bc2add8e3f3941dab1db0a37f4df93a4.jpeg"", 0.040824740812683474], [""127"", ""https://s3.amazonaws.com/popop-uploads/ce68ef3d90aa44c79f730e12d33b06e5.jpeg"", 0.2139797634089716], [""128"", ""https://s3.amazonaws.com/popop-uploads/87798c6d5fbd45a19148cd887f53392a.jpeg"", 0.083008459224115108], [""130"", ""https://s3.amazonaws.com/popop-uploads/909f879b78bb4e5b9573f457dbdb4d98.jpeg"", 0.16724490834254171], [""125"", ""https://s3.amazonaws.com/popop-uploads/c55f3033d4a34d489dbdecfa2fb2b7a0.jpeg"", 0.074631562630472131], [""126"", ""https://s3.amazonaws.com/popop-uploads/9352b4d0dfc547dd8426be29ed59bf1a.jpeg"", 0.036711354855878855], [""131"", ""https://s3.amazonaws.com/popop-uploads/55f5de3ffd8a42f994818a780f273dad.jpeg"", 0.094131178120997958], [""133"", ""https://s3.amazonaws.com/popop-uploads/100e5f5c1950402e9b4f2afd76668586.jpeg"", 0.08874605431102256]]"
30,Which presidential candidate would you most like to see in a dunk tank?,"[[""120"", ""https://s3.amazonaws.com/popop-uploads/039b6d228e2e47d5bcb59ff44ba980e9.png"", 0.33432105145257701], [""123"", ""https://s3.amazonaws.com/popop-uploads/cbbe4cbf1ac94745b06482242dcd2d1d.png"", 0.16082572582585114], [""122"", ""https://s3.amazonaws.com/popop-uploads/70f73d0fa07841948aef873ba186d962.png"", 0.15078005065245867], [""121"", ""https://s3.amazonaws.com/popop-uploads/d131f81443cf42dc9d006b85529acb24.png"", 0.35407317206911321]]"
37,which maymay is spiciest ,"[[""157"", ""https://s3.amazonaws.com/popop-uploads/165216619ea24db8bbc64e6b09e149e5.jpeg"", 0.57914274270532484], [""156"", ""https://s3.amazonaws.com/popop-uploads/3d631e15ba9a45598afa2be470084b5c.jpeg"", 0.22128188912368019], [""155"", ""https://s3.amazonaws.com/popop-uploads/72a2b44529ab4816bb911bf771713eb5.jpeg"", 0.092878510225953489], [""154"", ""https://s3.amazonaws.com/popop-uploads/3f7e62a3f8e141578405d2077f5cc534.png"", 0.074202761392526906], [""153"", ""https://s3.amazonaws.com/popop-uploads/edbd5824222e499ba250b9ea0e636cdf.png"", 0.032494096552514645]]"
36,accuracy,"[[""151"", ""https://s3.amazonaws.com/popop-uploads/2368f574572948f78851d9bbac86b464.png"", 0.33874620312964376], [""150"", ""https://s3.amazonaws.com/popop-uploads/7abf41519e1e428fb2ca13f9e1535d0d.png"", 0.3682317367362416], [""152"", ""https://s3.amazonaws.com/popop-uploads/d148d74c0888422889af8f64b102a7f3.png"", 0.29302206013411464]]"
35,which wallpaper is the best?,"[[""149"", ""https://s3.amazonaws.com/popop-uploads/71125d6bdcd24b9f9c2cc9a7396b0983.jpeg"", 0.26832902193979596], [""145"", ""https://s3.amazonaws.com/popop-uploads/949d5083a98c45c091d29e7bdf7b3e15.jpeg"", 0.087179979317939832], [""146"", ""https://s3.amazonaws.com/popop-uploads/89a86c98c81545a8965392a959fad260.jpeg"", 0.19989042410522814], [""147"", ""https://s3.amazonaws.com/popop-uploads/3f4a6cf612364723b7e4a67090876d21.jpeg"", 0.22679796788707576], [""148"", ""https://s3.amazonaws.com/popop-uploads/ee3e807349014b7cbc06daa7b50e708d.jpeg"", 0.21780260674996046]]"
34,Best minimalist wallpaper,"[[""143"", ""https://s3.amazonaws.com/popop-uploads/773708279ddd4ad18581037bbeac3524.png"", 0.070179859348238657], [""142"", ""https://s3.amazonaws.com/popop-uploads/122c651f6e614e95a4aa3b2d4e486064.png"", 0.12125838576149159], [""140"", ""https://s3.amazonaws.com/popop-uploads/6a8005b96e0a41149afd044082c56e8b.png"", 0.17162284400686831], [""144"", ""https://s3.amazonaws.com/popop-uploads/1b7966d5116c4ee0bca0ae825984e4d9.jpeg"", 0.34123268309661636], [""141"", ""https://s3.amazonaws.com/popop-uploads/c14a1d9671e24d76ae6156990049549b.jpeg"", 0.29570622778678507]]"
19,What is the healthiest?,"[[""76"", ""https://s3.amazonaws.com/popop-uploads/2ac818d12c3d45e0a1b3d601bb3785e5.jpeg"", 0.33892914467689467], [""75"", ""https://s3.amazonaws.com/popop-uploads/e2d2124a4da94f838a4bf147666ffd1a.jpeg"", 0.26719863830933788], [""77"", ""https://s3.amazonaws.com/popop-uploads/87cf0eda15cc4812934dffacd8093dc4.jpeg"", 0.39387221701376746]]"
32,I want my photos to be sorted by most exciting to least exciting,"[[""135"", ""https://s3.amazonaws.com/popop-uploads/22b30763181049d5a3eda22e8ba60f3a.jpeg"", 0.53447600676127094], [""134"", ""https://s3.amazonaws.com/popop-uploads/42e7cd55a2104dcda4767bd1937e252f.jpeg"", 0.31182389200539179], [""136"", ""https://s3.amazonaws.com/popop-uploads/764905dbfdd9460caaaf4b378603f59e.jpeg"", 0.15370010123333727]]"
