id,description,json
12,best casual outfit for a date,"[{""score"": ""0.628231"", ""label"": ""/style and fashion/clothing/leggings""}, {""score"": ""0.55788"", ""label"": ""/style and fashion/accessories""}, {""confident"": ""no"", ""score"": ""0.348055"", ""label"": ""/style and fashion/accessories/scarves""}]"
13,Which is the prettiest button?,[]
14,Which is the better designed marketing poster?,"[{""score"": ""0.831024"", ""label"": ""/business and industrial/advertising and marketing/marketing""}, {""score"": ""0.531224"", ""label"": ""/business and industrial/business operations/business plans""}, {""confident"": ""no"", ""score"": ""0.135689"", ""label"": ""/art and entertainment/movies and tv/movies""}]"
15,Which rowing picture is coolest?,"[{""score"": ""0.991238"", ""label"": ""/sports/rowing""}, {""confident"": ""no"", ""score"": ""0.0272349"", ""label"": ""/shopping/toys""}, {""confident"": ""no"", ""score"": ""0.0237289"", ""label"": ""/style and fashion/clothing/shirts""}]"
16,Which cookie looks the best?,"[{""score"": ""0.738474"", ""label"": ""/food and drink/desserts and baking""}, {""score"": ""0.493056"", ""label"": ""/food and drink/food/baked goods""}, {""confident"": ""no"", ""score"": ""0.217377"", ""label"": ""/shopping/gifts/flowers""}]"
17,What is Jennifer Aniston's best look?,"[{""score"": ""0.999739"", ""label"": ""/art and entertainment/movies and tv/romantic comedies""}, {""confident"": ""no"", ""score"": ""0.0113675"", ""label"": ""/art and entertainment/movies and tv/movies""}, {""confident"": ""no"", ""score"": ""0.0106731"", ""label"": ""/society/sex""}]"
18,What is the prettiest sunset?,[]
19,What is the healthiest?,"[{""score"": ""0.630389"", ""label"": ""/food and drink/healthy eating""}, {""score"": ""0.623273"", ""label"": ""/food and drink/food/fruits and vegetables""}, {""confident"": ""no"", ""score"": ""0.297741"", ""label"": ""/food and drink/food/fast food""}]"
20,Who is your favorite Friends character?,"[{""score"": ""0.999994"", ""label"": ""/hobbies and interests/arts and crafts""}, {""confident"": ""no"", ""score"": ""0.00201231"", ""label"": ""/education/school""}, {""confident"": ""no"", ""score"": ""0.000128884"", ""label"": ""/shopping/retail/outlet stores""}]"
21,What's the best coffee?,"[{""score"": ""1"", ""label"": ""/food and drink/beverages/non alcoholic beverages/coffee and tea""}, {""confident"": ""no"", ""score"": ""0.000211433"", ""label"": ""/home and garden/appliances/small appliances/coffee maker""}, {""confident"": ""no"", ""score"": ""0.00014122"", ""label"": ""/food and drink""}]"
22,Which puppy is the cutest?,"[{""score"": ""1"", ""label"": ""/pets/dogs""}, {""confident"": ""no"", ""score"": ""0.000263117"", ""label"": ""/pets""}, {""confident"": ""no"", ""score"": ""0.000120486"", ""label"": ""/food and drink""}]"
23,Which is the hottest pic of our hottest prez?,"[{""score"": ""0.932366"", ""label"": ""/art and entertainment/music/music genres/hip hop""}, {""confident"": ""no"", ""score"": ""0.13984"", ""label"": ""/art and entertainment/celebrity fan and gossip""}, {""confident"": ""no"", ""score"": ""0.136696"", ""label"": ""/style and fashion/swimwear/bikinis""}]"
24,Which school delivers the best quality of education?,"[{""score"": ""0.94974"", ""label"": ""/education/school""}, {""confident"": ""no"", ""score"": ""0.223745"", ""label"": ""/education""}, {""confident"": ""no"", ""score"": ""0.0252351"", ""label"": ""/technology and computing/consumer electronics/tv and video equipment/dvrs and set-top boxes""}]"
25,Which lipstick color is the most trendy?,"[{""score"": ""0.986156"", ""label"": ""/style and fashion/beauty/cosmetics/lipstick""}, {""confident"": ""no"", ""score"": ""0.0844912"", ""label"": ""/style and fashion/accessories""}, {""confident"": ""no"", ""score"": ""0.0301186"", ""label"": ""/shopping/resources/product reviews""}]"
26,Which Penn baseball cap is the coolest?,"[{""score"": ""0.963256"", ""label"": ""/sports/baseball""}, {""confident"": ""no"", ""score"": ""0.13993"", ""label"": ""/style and fashion/accessories/hats""}, {""confident"": ""no"", ""score"": ""0.0556868"", ""label"": ""/style and fashion/accessories/sunglasses""}]"
27,Which Harry Potter book is the best?,"[{""score"": ""0.632271"", ""label"": ""/art and entertainment/books and literature""}, {""score"": ""0.460918"", ""label"": ""/art and entertainment/comics and animation/comics""}, {""confident"": ""no"", ""score"": ""0.256682"", ""label"": ""/art and entertainment/movies and tv/movies""}]"
28,Which social media platforms are the most helpful for everyday life?,"[{""confident"": ""no"", ""score"": ""0.343112"", ""label"": ""/business and industrial/advertising and marketing/public relations""}, {""confident"": ""no"", ""score"": ""0.191129"", ""label"": ""/business and industrial/advertising and marketing/marketing""}, {""confident"": ""no"", ""score"": ""0.182481"", ""label"": ""/technology and computing/internet technology/social network""}]"
29,Which Monet is the prettiest?,"[{""score"": ""0.994626"", ""label"": ""/art and entertainment/visual art and design/painting""}, {""confident"": ""no"", ""score"": ""0.102783"", ""label"": ""/home and garden""}, {""confident"": ""no"", ""score"": ""0.00861677"", ""label"": ""/art and entertainment/visual art and design""}]"
30,Which presidential candidate would you most like to see in a dunk tank?,"[{""confident"": ""no"", ""score"": ""0.336058"", ""label"": ""/style and fashion/footwear/shoes""}, {""confident"": ""no"", ""score"": ""0.331439"", ""label"": ""/pets/aquariums""}, {""confident"": ""no"", ""score"": ""0.291461"", ""label"": ""/law, govt and politics/politics/elections/presidential elections""}]"
31,sort by how beautiful you think the photo is,"[{""score"": ""0.641481"", ""label"": ""/hobbies and interests/arts and crafts/photography""}, {""confident"": ""no"", ""score"": ""0.286467"", ""label"": ""/automotive and vehicles/vehicle brands/ferrari""}, {""confident"": ""no"", ""score"": ""0.235088"", ""label"": ""/hobbies and interests/collecting/stamps and coins""}]"
32,I want my photos to be sorted by most exciting to least exciting,"[{""score"": ""0.97609"", ""label"": ""/hobbies and interests/arts and crafts/photography""}, {""confident"": ""no"", ""score"": ""0.216704"", ""label"": ""/technology and computing/hardware/computer components/disks""}, {""confident"": ""no"", ""score"": ""0.0109927"", ""label"": ""/art and entertainment/books and literature/magazines""}]"
33,which is a better background ,"[{""score"": ""0.556147"", ""label"": ""/technology and computing/internet technology/web search/people search""}, {""score"": ""0.520682"", ""label"": ""/art and entertainment/music/music genres/easy listening""}, {""confident"": ""no"", ""score"": ""0.193935"", ""label"": ""/art and entertainment/music/music genres/jazz""}]"
34,Best minimalist wallpaper,"[{""score"": ""0.904727"", ""label"": ""/art and entertainment/visual art and design/design/interior design""}, {""confident"": ""no"", ""score"": ""0.260279"", ""label"": ""/style and fashion/footwear""}, {""confident"": ""no"", ""score"": ""0.112969"", ""label"": ""/art and entertainment/visual art and design/design""}]"
35,which wallpaper is the best?,[]
36,accuracy,[]
37,which maymay is spiciest ,[]
38,Who is cooler?,"[{""score"": ""0.859563"", ""label"": ""/food and drink/beverages/non alcoholic beverages/bottled water""}, {""confident"": ""no"", ""score"": ""0.195624"", ""label"": ""/home and garden/appliances/refrigerators and freezers""}, {""confident"": ""no"", ""score"": ""0.177854"", ""label"": ""/technology and computing/hardware/computer components/graphics cards""}]"
39,Best pepe,[]
40,What food should I order,"[{""score"": ""0.921375"", ""label"": ""/food and drink""}, {""confident"": ""no"", ""score"": ""0.160954"", ""label"": ""/food and drink/cuisines/italian cuisine""}, {""confident"": ""no"", ""score"": ""0.0738825"", ""label"": ""/food and drink/cuisines/mexican cuisine""}]"
41,attractiveness ,"[{""score"": ""0.873705"", ""label"": ""/health and fitness/sexuality""}, {""confident"": ""no"", ""score"": ""0.485937"", ""label"": ""/business and industrial/energy/renewable energy""}, {""confident"": ""no"", ""score"": ""0.0105001"", ""label"": ""/health and fitness""}]"
42,tastiness,[]
43,beautiful,[]
44,Unfunniness,[]
45,Tinder Profile Picture Order,"[{""score"": ""0.842112"", ""label"": ""/technology and computing/internet technology/social network""}, {""confident"": ""no"", ""score"": ""0.234756"", ""label"": ""/news/international news""}, {""confident"": ""no"", ""score"": ""0.172622"", ""label"": ""/careers/resume writing and advice""}]"
