id,set_id,worker_id,description,first,second,third,first_addr,second_addr,third_addr
16,7,1,Best CIS professor,28,29,27,https://s3.amazonaws.com/popop-uploads/c874f53c87f94ee9872052dfb0738481.jpeg,https://s3.amazonaws.com/popop-uploads/64d8de8847d94bcba772be00ec289bb1.jpeg,https://s3.amazonaws.com/popop-uploads/6718520f3177495ea550fe9cef31fb17.jpeg
17,7,1,Best CIS professor,28,30,29,https://s3.amazonaws.com/popop-uploads/c874f53c87f94ee9872052dfb0738481.jpeg,https://s3.amazonaws.com/popop-uploads/c59bde512c3640338c7426edc1f008d0.jpeg,https://s3.amazonaws.com/popop-uploads/64d8de8847d94bcba772be00ec289bb1.jpeg
18,7,1,Best CIS professor,29,30,31,https://s3.amazonaws.com/popop-uploads/64d8de8847d94bcba772be00ec289bb1.jpeg,https://s3.amazonaws.com/popop-uploads/c59bde512c3640338c7426edc1f008d0.jpeg,https://s3.amazonaws.com/popop-uploads/daa1d8896ef64e108ff803e7fbe20df4.jpeg
19,8,1,Most representative picture of Penn,33,32,34,https://s3.amazonaws.com/popop-uploads/f0d13a3076dc481ba50e9885b4fa995f.jpeg,https://s3.amazonaws.com/popop-uploads/bcce04d26d1d436b8a2eceaeba2d597f.jpeg,https://s3.amazonaws.com/popop-uploads/a59adc7355084b5397e78f676db45ed6.jpeg
20,8,1,Most representative picture of Penn,33,35,34,https://s3.amazonaws.com/popop-uploads/f0d13a3076dc481ba50e9885b4fa995f.jpeg,https://s3.amazonaws.com/popop-uploads/12fd5179f6b44ba7920d07980e2c40a9.jpeg,https://s3.amazonaws.com/popop-uploads/a59adc7355084b5397e78f676db45ed6.jpeg
21,8,1,Most representative picture of Penn,36,35,34,https://s3.amazonaws.com/popop-uploads/a29ef9fec0834dd3a3d6cfe5b68d039a.jpeg,https://s3.amazonaws.com/popop-uploads/12fd5179f6b44ba7920d07980e2c40a9.jpeg,https://s3.amazonaws.com/popop-uploads/a59adc7355084b5397e78f676db45ed6.jpeg
22,9,1,Most enjoy spending time with students from which school?,37,38,39,https://s3.amazonaws.com/popop-uploads/7b9edef7db8047b18cdc43f1e7651346.png,https://s3.amazonaws.com/popop-uploads/a40e76220c6b4d5d96930971e2c1bb01.png,https://s3.amazonaws.com/popop-uploads/92397893f7cc4fa295f2c9478d8fb53d.jpeg
23,9,1,Most enjoy spending time with students from which school?,38,40,39,https://s3.amazonaws.com/popop-uploads/a40e76220c6b4d5d96930971e2c1bb01.png,https://s3.amazonaws.com/popop-uploads/28875a3b952b445fbd8e76c33e0027b8.png,https://s3.amazonaws.com/popop-uploads/92397893f7cc4fa295f2c9478d8fb53d.jpeg
24,10,1,Favorite college w/ heavy sports culture,43,41,42,https://s3.amazonaws.com/popop-uploads/d5f3234a5b5749f0a56617c43dc551d6.jpeg,https://s3.amazonaws.com/popop-uploads/4edd31419cb54e8795cce1e6588fb504.jpeg,https://s3.amazonaws.com/popop-uploads/8d8c48fdb3234278a4298012bf200301.png
25,10,1,Favorite college w/ heavy sports culture,43,42,44,https://s3.amazonaws.com/popop-uploads/d5f3234a5b5749f0a56617c43dc551d6.jpeg,https://s3.amazonaws.com/popop-uploads/8d8c48fdb3234278a4298012bf200301.png,https://s3.amazonaws.com/popop-uploads/188352c5f7e548c5a67fb94c9244d4b2.jpeg
26,10,1,Favorite college w/ heavy sports culture,45,43,44,https://s3.amazonaws.com/popop-uploads/aca6a811fe8d4d0ea805b8ab66e51b0b.png,https://s3.amazonaws.com/popop-uploads/d5f3234a5b5749f0a56617c43dc551d6.jpeg,https://s3.amazonaws.com/popop-uploads/188352c5f7e548c5a67fb94c9244d4b2.jpeg
27,11,1,Favorite phone,48,47,46,https://s3.amazonaws.com/popop-uploads/9a9e2e38bd8f4d90a8fe1f1e5b2f44b3.jpeg,https://s3.amazonaws.com/popop-uploads/6fc233a9d94e4bf791c3fa75613007c0.jpeg,https://s3.amazonaws.com/popop-uploads/cff59ad1931c495d985878c84a405f84.jpeg
28,11,1,Favorite phone,48,47,49,https://s3.amazonaws.com/popop-uploads/9a9e2e38bd8f4d90a8fe1f1e5b2f44b3.jpeg,https://s3.amazonaws.com/popop-uploads/6fc233a9d94e4bf791c3fa75613007c0.jpeg,https://s3.amazonaws.com/popop-uploads/11d403c20b0d4d4bbc4a7d29d3ddc353.jpeg
29,12,1,best casual outfit for a date,52,51,50,https://s3.amazonaws.com/popop-uploads/206e714a350944388e05bd414a0f829e.jpeg,https://s3.amazonaws.com/popop-uploads/c2080d5d21494ff2968bd2c4552f4d3a.jpeg,https://s3.amazonaws.com/popop-uploads/5820bcd196fa4d4d8005c38ed6bc7b43.jpeg
30,12,1,best casual outfit for a date,52,51,53,https://s3.amazonaws.com/popop-uploads/206e714a350944388e05bd414a0f829e.jpeg,https://s3.amazonaws.com/popop-uploads/c2080d5d21494ff2968bd2c4552f4d3a.jpeg,https://s3.amazonaws.com/popop-uploads/e557213b1afe4838be06e20b82fe56d4.jpeg
31,13,1,Which is the prettiest button?,56,54,55,https://s3.amazonaws.com/popop-uploads/3229341cf2d7400c8b0c38e4ace14778.png,https://s3.amazonaws.com/popop-uploads/734d169b6e0b49e0afe4b03b55b2bb9d.png,https://s3.amazonaws.com/popop-uploads/82860648637f4975a6e0c3fc3072d998.png
32,13,1,Which is the prettiest button?,56,55,57,https://s3.amazonaws.com/popop-uploads/3229341cf2d7400c8b0c38e4ace14778.png,https://s3.amazonaws.com/popop-uploads/82860648637f4975a6e0c3fc3072d998.png,https://s3.amazonaws.com/popop-uploads/53f0ebcf4e714ff0bf571befa306d7e2.png
33,13,1,Which is the prettiest button?,57,56,58,https://s3.amazonaws.com/popop-uploads/53f0ebcf4e714ff0bf571befa306d7e2.png,https://s3.amazonaws.com/popop-uploads/3229341cf2d7400c8b0c38e4ace14778.png,https://s3.amazonaws.com/popop-uploads/c12e32d6e97f4dea9bb76f78ad0e25ef.png
34,13,1,Which is the prettiest button?,59,57,58,https://s3.amazonaws.com/popop-uploads/46416df2e1b542c2a5bd0f28c05ef025.png,https://s3.amazonaws.com/popop-uploads/53f0ebcf4e714ff0bf571befa306d7e2.png,https://s3.amazonaws.com/popop-uploads/c12e32d6e97f4dea9bb76f78ad0e25ef.png
35,14,1,Which is the better designed marketing poster?,62,60,61,https://s3.amazonaws.com/popop-uploads/ee06309c40874c9c9aba7f9f5eedcdee.png,https://s3.amazonaws.com/popop-uploads/47aff20128d74aa9b45a18919c775c37.jpeg,https://s3.amazonaws.com/popop-uploads/e2bfe7fbdc4648fe9de3c8ade1e0ad20.jpeg
36,15,1,Which rowing picture is coolest?,64,65,63,https://s3.amazonaws.com/popop-uploads/7cd2383df5cd49a9a9f77ff9d36b1153.jpeg,https://s3.amazonaws.com/popop-uploads/4ab25995a93748cd9b3ed7f2fa36d70e.jpeg,https://s3.amazonaws.com/popop-uploads/8e3940844ccb46e2bfa6f1491d1a21a4.jpeg
37,16,1,Which cookie looks the best?,67,68,66,https://s3.amazonaws.com/popop-uploads/bd7ae4ac1422427dbbbe8649b2f48ec4.jpeg,https://s3.amazonaws.com/popop-uploads/a741f27d03de472e9ddfba1bc7609cd5.jpeg,https://s3.amazonaws.com/popop-uploads/0ae217a1e3e54afe82c5bdce94c02837.jpeg
38,17,1,What is Jennifer Aniston's best look?,70,71,69,https://s3.amazonaws.com/popop-uploads/a2268db5692d45a7aee660361dfa9e5b.jpeg,https://s3.amazonaws.com/popop-uploads/81ba4a8173a84691b707e0d3ae7eb02e.jpeg,https://s3.amazonaws.com/popop-uploads/468e62d721ba482ea1cfacc394aaaf3b.jpeg
39,18,1,What is the prettiest sunset?,74,73,72,https://s3.amazonaws.com/popop-uploads/51e5fdd893854fba9076201e15923b6d.jpeg,https://s3.amazonaws.com/popop-uploads/8601c46a463b45f8ad19d59083859875.jpeg,https://s3.amazonaws.com/popop-uploads/3cbaaf0500e942f7a0b6239097e84b84.jpeg
40,19,1,What is the healthiest?,76,75,77,https://s3.amazonaws.com/popop-uploads/2ac818d12c3d45e0a1b3d601bb3785e5.jpeg,https://s3.amazonaws.com/popop-uploads/e2d2124a4da94f838a4bf147666ffd1a.jpeg,https://s3.amazonaws.com/popop-uploads/87cf0eda15cc4812934dffacd8093dc4.jpeg
41,20,1,Who is your favorite Friends character?,80,78,79,https://s3.amazonaws.com/popop-uploads/b4586f8486674de7a17e10e4dc315480.jpeg,https://s3.amazonaws.com/popop-uploads/969cc88f92874cc7a2d79a2a5d97dcee.jpeg,https://s3.amazonaws.com/popop-uploads/d7038848d0214f169e17288a3c403a80.jpeg
42,21,1,What's the best coffee?,81,82,83,https://s3.amazonaws.com/popop-uploads/c541221102704de1a300520e78483bd3.png,https://s3.amazonaws.com/popop-uploads/751f67d88eb5428b9da091c9b609a48f.png,https://s3.amazonaws.com/popop-uploads/55c0072c62d94db7b5b4b1b23bd7645b.jpeg
43,22,1,Which puppy is the cutest?,86,85,84,https://s3.amazonaws.com/popop-uploads/fbd1cae224524674b2741a87e31e563f.jpeg,https://s3.amazonaws.com/popop-uploads/851d19b3f48e4a82b1dfc5060a11b384.jpeg,https://s3.amazonaws.com/popop-uploads/172d15eacb9c441697c26c8954e52967.jpeg
44,23,1,Which is the hottest pic of our hottest prez?,88,87,89,https://s3.amazonaws.com/popop-uploads/cc6466cb42af4b4e8463e515bf1cf50d.jpeg,https://s3.amazonaws.com/popop-uploads/ab23e330b79c437eb4eec05b6fe2056f.jpeg,https://s3.amazonaws.com/popop-uploads/5f8d518cd1f4496ca26f6d2175a7254b.jpeg
45,24,1,Which school delivers the best quality of education?,90,91,92,https://s3.amazonaws.com/popop-uploads/3796c1f90c1d49c4981fbdc0d6887a3a.png,https://s3.amazonaws.com/popop-uploads/d26298a89866454aaff76def409410e5.png,https://s3.amazonaws.com/popop-uploads/3246a19e51034d948a09a8e7b181ed45.png
46,25,1,Which lipstick color is the most trendy?,93,94,95,https://s3.amazonaws.com/popop-uploads/4aa720f25f494cd2acee6399c3d36c47.jpeg,https://s3.amazonaws.com/popop-uploads/6c6aeec68bc247bb8fb1b622c1561e0e.jpeg,https://s3.amazonaws.com/popop-uploads/f4bee0a55bb34752b4a43cfbad6c60ed.jpeg
47,26,1,Which Penn baseball cap is the coolest?,97,98,96,https://s3.amazonaws.com/popop-uploads/b37fb1cbda3d4a54a99b3713cd569d69.jpeg,https://s3.amazonaws.com/popop-uploads/2c41cde52ddc43878f562a37f6f38d31.jpeg,https://s3.amazonaws.com/popop-uploads/cf476297faf04212b06e7d229e538160.jpeg
48,27,1,Which Harry Potter book is the best?,101,100,99,https://s3.amazonaws.com/popop-uploads/8019d81d0ad843a2b73cb1d627504007.jpeg,https://s3.amazonaws.com/popop-uploads/4e6fab97e7104c9aadbae745f822dae1.jpeg,https://s3.amazonaws.com/popop-uploads/99a1f6cb24394bb2a33cc89045e6829f.jpeg
49,27,1,Which Harry Potter book is the best?,101,100,102,https://s3.amazonaws.com/popop-uploads/8019d81d0ad843a2b73cb1d627504007.jpeg,https://s3.amazonaws.com/popop-uploads/4e6fab97e7104c9aadbae745f822dae1.jpeg,https://s3.amazonaws.com/popop-uploads/748ecddaeec54a6f8f9b9034b7b2bd81.jpeg
50,27,1,Which Harry Potter book is the best?,103,101,102,https://s3.amazonaws.com/popop-uploads/75d1f30dc2294db4b99e5ed663cda982.jpeg,https://s3.amazonaws.com/popop-uploads/8019d81d0ad843a2b73cb1d627504007.jpeg,https://s3.amazonaws.com/popop-uploads/748ecddaeec54a6f8f9b9034b7b2bd81.jpeg
51,27,1,Which Harry Potter book is the best?,103,104,102,https://s3.amazonaws.com/popop-uploads/75d1f30dc2294db4b99e5ed663cda982.jpeg,https://s3.amazonaws.com/popop-uploads/9e42a66b022f4df19a4844637d845e51.jpeg,https://s3.amazonaws.com/popop-uploads/748ecddaeec54a6f8f9b9034b7b2bd81.jpeg
52,27,1,Which Harry Potter book is the best?,103,104,105,https://s3.amazonaws.com/popop-uploads/75d1f30dc2294db4b99e5ed663cda982.jpeg,https://s3.amazonaws.com/popop-uploads/9e42a66b022f4df19a4844637d845e51.jpeg,https://s3.amazonaws.com/popop-uploads/3c8239f966de4c7c84241a271f9a04f3.jpeg
53,28,1,Which social media platforms are the most helpful for everyday life?,106,108,107,https://s3.amazonaws.com/popop-uploads/9cbb78076835447ab8fdac769787591c.png,https://s3.amazonaws.com/popop-uploads/95b0ca44bcb146b5b8225abc18bdb173.png,https://s3.amazonaws.com/popop-uploads/b60f6d4ba0a7478f89279e4eac2b7404.png
54,28,1,Which social media platforms are the most helpful for everyday life?,109,108,107,https://s3.amazonaws.com/popop-uploads/ace76a63623f48c0b3531f61c30f685b.png,https://s3.amazonaws.com/popop-uploads/95b0ca44bcb146b5b8225abc18bdb173.png,https://s3.amazonaws.com/popop-uploads/b60f6d4ba0a7478f89279e4eac2b7404.png
55,28,1,Which social media platforms are the most helpful for everyday life?,110,108,109,https://s3.amazonaws.com/popop-uploads/23d8dfe384d74f2c819966e3e0531a70.png,https://s3.amazonaws.com/popop-uploads/95b0ca44bcb146b5b8225abc18bdb173.png,https://s3.amazonaws.com/popop-uploads/ace76a63623f48c0b3531f61c30f685b.png
56,28,1,Which social media platforms are the most helpful for everyday life?,110,109,111,https://s3.amazonaws.com/popop-uploads/23d8dfe384d74f2c819966e3e0531a70.png,https://s3.amazonaws.com/popop-uploads/ace76a63623f48c0b3531f61c30f685b.png,https://s3.amazonaws.com/popop-uploads/25f1fc382b284e32bf8f3ee6cdef5dad.png
57,28,1,Which social media platforms are the most helpful for everyday life?,110,112,111,https://s3.amazonaws.com/popop-uploads/23d8dfe384d74f2c819966e3e0531a70.png,https://s3.amazonaws.com/popop-uploads/9b7d5566c86847aeaf8720021c7bb842.png,https://s3.amazonaws.com/popop-uploads/25f1fc382b284e32bf8f3ee6cdef5dad.png
58,28,1,Which social media platforms are the most helpful for everyday life?,113,111,112,https://s3.amazonaws.com/popop-uploads/9c7363177beb4e62bf19d06e9fd0af47.png,https://s3.amazonaws.com/popop-uploads/25f1fc382b284e32bf8f3ee6cdef5dad.png,https://s3.amazonaws.com/popop-uploads/9b7d5566c86847aeaf8720021c7bb842.png
59,28,1,Which social media platforms are the most helpful for everyday life?,113,114,112,https://s3.amazonaws.com/popop-uploads/9c7363177beb4e62bf19d06e9fd0af47.png,https://s3.amazonaws.com/popop-uploads/1e70a81ae63846708f837294df75a1e5.png,https://s3.amazonaws.com/popop-uploads/9b7d5566c86847aeaf8720021c7bb842.png
60,28,1,Which social media platforms are the most helpful for everyday life?,113,115,114,https://s3.amazonaws.com/popop-uploads/9c7363177beb4e62bf19d06e9fd0af47.png,https://s3.amazonaws.com/popop-uploads/49a53e034b7e40319b059298f226599b.png,https://s3.amazonaws.com/popop-uploads/1e70a81ae63846708f837294df75a1e5.png
61,29,1,Which Monet is the prettiest?,117,116,118,https://s3.amazonaws.com/popop-uploads/151f244313a54aa1b0dd76d1d5d5a957.jpeg,https://s3.amazonaws.com/popop-uploads/413e741a7e634a95aba952c8990ea808.jpeg,https://s3.amazonaws.com/popop-uploads/89b04b5a8ddc4dbb85b44866b7bb9db1.jpeg
62,29,1,Which Monet is the prettiest?,117,119,118,https://s3.amazonaws.com/popop-uploads/151f244313a54aa1b0dd76d1d5d5a957.jpeg,https://s3.amazonaws.com/popop-uploads/cc9baf06d95a41e3bb98dba3d2abfe95.jpeg,https://s3.amazonaws.com/popop-uploads/89b04b5a8ddc4dbb85b44866b7bb9db1.jpeg
63,30,1,Which presidential candidate would you most like to see in a dunk tank?,120,122,121,https://s3.amazonaws.com/popop-uploads/039b6d228e2e47d5bcb59ff44ba980e9.png,https://s3.amazonaws.com/popop-uploads/70f73d0fa07841948aef873ba186d962.png,https://s3.amazonaws.com/popop-uploads/d131f81443cf42dc9d006b85529acb24.png
64,30,1,Which presidential candidate would you most like to see in a dunk tank?,122,121,123,https://s3.amazonaws.com/popop-uploads/70f73d0fa07841948aef873ba186d962.png,https://s3.amazonaws.com/popop-uploads/d131f81443cf42dc9d006b85529acb24.png,https://s3.amazonaws.com/popop-uploads/cbbe4cbf1ac94745b06482242dcd2d1d.png
65,31,1,sort by how beautiful you think the photo is,125,124,126,https://s3.amazonaws.com/popop-uploads/c55f3033d4a34d489dbdecfa2fb2b7a0.jpeg,https://s3.amazonaws.com/popop-uploads/e80dc51df7e84fe5860e5a0372ce3374.jpeg,https://s3.amazonaws.com/popop-uploads/9352b4d0dfc547dd8426be29ed59bf1a.jpeg
66,31,1,sort by how beautiful you think the photo is,127,125,126,https://s3.amazonaws.com/popop-uploads/ce68ef3d90aa44c79f730e12d33b06e5.jpeg,https://s3.amazonaws.com/popop-uploads/c55f3033d4a34d489dbdecfa2fb2b7a0.jpeg,https://s3.amazonaws.com/popop-uploads/9352b4d0dfc547dd8426be29ed59bf1a.jpeg
67,31,1,sort by how beautiful you think the photo is,127,126,128,https://s3.amazonaws.com/popop-uploads/ce68ef3d90aa44c79f730e12d33b06e5.jpeg,https://s3.amazonaws.com/popop-uploads/9352b4d0dfc547dd8426be29ed59bf1a.jpeg,https://s3.amazonaws.com/popop-uploads/87798c6d5fbd45a19148cd887f53392a.jpeg
68,31,1,sort by how beautiful you think the photo is,127,129,128,https://s3.amazonaws.com/popop-uploads/ce68ef3d90aa44c79f730e12d33b06e5.jpeg,https://s3.amazonaws.com/popop-uploads/b5dfd3e1f1b94565a7996bfe6eda1fa6.jpeg,https://s3.amazonaws.com/popop-uploads/87798c6d5fbd45a19148cd887f53392a.jpeg
69,31,1,sort by how beautiful you think the photo is,130,129,128,https://s3.amazonaws.com/popop-uploads/909f879b78bb4e5b9573f457dbdb4d98.jpeg,https://s3.amazonaws.com/popop-uploads/b5dfd3e1f1b94565a7996bfe6eda1fa6.jpeg,https://s3.amazonaws.com/popop-uploads/87798c6d5fbd45a19148cd887f53392a.jpeg
70,31,1,sort by how beautiful you think the photo is,131,130,129,https://s3.amazonaws.com/popop-uploads/55f5de3ffd8a42f994818a780f273dad.jpeg,https://s3.amazonaws.com/popop-uploads/909f879b78bb4e5b9573f457dbdb4d98.jpeg,https://s3.amazonaws.com/popop-uploads/b5dfd3e1f1b94565a7996bfe6eda1fa6.jpeg
71,31,1,sort by how beautiful you think the photo is,131,130,129,https://s3.amazonaws.com/popop-uploads/55f5de3ffd8a42f994818a780f273dad.jpeg,https://s3.amazonaws.com/popop-uploads/909f879b78bb4e5b9573f457dbdb4d98.jpeg,https://s3.amazonaws.com/popop-uploads/b5dfd3e1f1b94565a7996bfe6eda1fa6.jpeg
72,31,1,sort by how beautiful you think the photo is,132,131,133,https://s3.amazonaws.com/popop-uploads/bc2add8e3f3941dab1db0a37f4df93a4.jpeg,https://s3.amazonaws.com/popop-uploads/55f5de3ffd8a42f994818a780f273dad.jpeg,https://s3.amazonaws.com/popop-uploads/100e5f5c1950402e9b4f2afd76668586.jpeg
73,32,1,I want my photos to be sorted by most exciting to least exciting,135,136,134,https://s3.amazonaws.com/popop-uploads/22b30763181049d5a3eda22e8ba60f3a.jpeg,https://s3.amazonaws.com/popop-uploads/764905dbfdd9460caaaf4b378603f59e.jpeg,https://s3.amazonaws.com/popop-uploads/42e7cd55a2104dcda4767bd1937e252f.jpeg
74,33,1,which is a better background ,138,137,139,https://s3.amazonaws.com/popop-uploads/b0c5ff092eb549948777fde16cdce215.jpeg,https://s3.amazonaws.com/popop-uploads/4ddd38abf1084b3080e27476d2c728d6.jpeg,https://s3.amazonaws.com/popop-uploads/e3cc2ea07af34badab212157660d6c6d.jpeg
